timestamp,detected_object,confidence_level,spray_status
"10/22/2025, 9:54:59 AM",dead crops:57.6%,57.6,off
"10/22/2025, 9:55:06 AM",snail-infested crops:75.7%,75.7,off
"10/22/2025, 9:55:11 AM",snail-infested crops:84.1%,84.1,off
"10/22/2025, 9:55:14 AM",snail-infested crops:86.0%,86,off
"10/22/2025, 9:55:16 AM",snail-infested crops:74.3%,74.3,off
"10/22/2025, 9:55:19 AM",snail-infested crops:78.1%,78.1,off
"10/22/2025, 9:55:21 AM",snail-infested crops:71.2%,71.2,off
"10/22/2025, 9:55:24 AM",snail-infested crops:71.8%,71.8,off
"10/22/2025, 9:55:26 AM",snail-infested crops:90.4%,90.4,off
"10/22/2025, 9:55:39 AM",snail-infested crops:71.1%,71.1,off
"10/22/2025, 9:55:41 AM",snail-infested crops:81.7%,81.7,off
"10/22/2025, 9:55:49 AM",snail-infested crops:56.0%,56,off
"10/22/2025, 9:55:51 AM",snail-infested crops:68.8%,68.8,off
"10/22/2025, 9:57:06 AM",dead crops:75.6%,75.6,off
"10/22/2025, 9:57:09 AM",dead crops:64.2%,64.2,off
"10/22/2025, 9:57:14 AM",dead crops:78.3%,78.3,off
"10/22/2025, 9:57:19 AM",dead crops:71.0%,71,off
"10/22/2025, 9:57:21 AM",dead crops:84.3%,84.3,off
"10/22/2025, 9:57:16 AM",dead crops:61.8%,61.8,off
"10/22/2025, 9:57:24 AM",dead crops:64.3%,64.3,off
"10/22/2025, 9:57:26 AM",dead crops:56.5%,56.5,off
"10/22/2025, 9:57:29 AM",snail-infested crops:60.0%,60,off
"10/22/2025, 9:57:34 AM",snail-infested crops:59.5%,59.5,off
"10/22/2025, 9:57:36 AM",snail-infested crops:54.1%,54.1,off
"10/22/2025, 9:57:39 AM",dead crops:61.3%,61.3,off
"10/22/2025, 9:57:41 AM",dead crops:68.5%,68.5,off
"10/22/2025, 9:57:51 AM",snail-infested crops:75.5%,75.5,off
"10/22/2025, 9:59:11 AM",snail-infested crops:82.8%,82.8,off
"10/22/2025, 9:59:14 AM",dead crops:88.1%,88.1,off
"10/22/2025, 9:59:16 AM",dead crops:85.3%,85.3,off
"10/22/2025, 9:59:19 AM","dead crops:67.7%,snail-infested crops:55.7%",67.7,off
"10/22/2025, 9:59:21 AM",dead crops:86.0%,86,off
"10/22/2025, 9:59:24 AM","dead crops:72.1%,snail-infested crops:60.4%",72.1,off
"10/22/2025, 9:59:26 AM","dead crops:71.4%,snail-infested crops:55.8%",71.4,off
"10/22/2025, 9:59:29 AM",snail-infested crops:91.5%,91.5,off
"10/22/2025, 9:59:32 AM",snail-infested crops:83.5%,83.5,off
"10/22/2025, 9:59:34 AM",snail-infested crops:90.8%,90.8,off
"10/22/2025, 9:59:36 AM",snail-infested crops:79.1%,79.1,off
"10/22/2025, 9:59:39 AM",dead crops:77.1%,77.1,off
"10/22/2025, 9:59:41 AM",dead crops:64.9%,64.9,off
"10/22/2025, 9:59:44 AM",dead crops:87.8%,87.8,off
"10/22/2025, 9:59:46 AM","snail-infested crops:68.0%,dead crops:63.4%",68,off
"10/22/2025, 9:59:49 AM","dead crops:71.1%,snail-infested crops:61.2%",71.1,off
"10/22/2025, 9:59:51 AM","dead crops:68.8%,snail-infested crops:67.9%",68.8,off
"10/22/2025, 9:59:54 AM","snail-infested crops:77.2%,dead crops:51.2%",77.2,off
"10/22/2025, 9:59:56 AM",snail-infested crops:89.4%,89.4,off
"10/22/2025, 9:59:59 AM","dead crops:76.2%,snail-infested crops:56.1%",76.2,off
"10/22/2025, 10:00:01 AM",snail-infested crops:82.5%,82.5,off
"10/22/2025, 10:00:04 AM","dead crops:75.9%,snail-infested crops:54.6%",75.9,off
"10/22/2025, 10:00:06 AM","snail-infested crops:77.6%,dead crops:55.0%",77.6,off
"10/22/2025, 10:00:09 AM","dead crops:67.7%,snail-infested crops:64.6%",67.7,off
"10/22/2025, 10:00:11 AM",dead crops:90.7%,90.7,off
"10/22/2025, 10:00:19 AM",snail-infested crops:78.7%,78.7,off
"10/22/2025, 10:00:21 AM",dead crops:51.8%,51.8,off
"10/22/2025, 10:00:24 AM",dead crops:83.1%,83.1,off
"10/22/2025, 10:00:26 AM",dead crops:90.0%,90,off
"10/22/2025, 10:00:31 AM",dead crops:53.9%,53.9,off
"10/22/2025, 10:00:34 AM",dead crops:50.2%,50.2,off
"10/22/2025, 10:00:39 AM",dead crops:75.0%,75,off
"10/22/2025, 10:00:41 AM",dead crops:71.1%,71.1,off
"10/22/2025, 10:00:44 AM",dead crops:53.9%,53.9,off
"10/22/2025, 10:00:46 AM",dead crops:54.3%,54.3,off
"10/22/2025, 10:18:09 AM",healthy crops:75.2%,75.2,off
"10/22/2025, 10:18:10 AM",dead crops:77.9%,77.9,off
"10/22/2025, 10:18:12 AM",dead crops:73.6%,73.6,off
"10/22/2025, 10:18:15 AM",dead crops:79.5%,79.5,off
"10/22/2025, 10:18:17 AM",dead crops:50.2%,50.2,off
"10/22/2025, 10:18:48 AM",dead crops:67.6%,67.6,off
"10/22/2025, 10:18:52 AM",dead crops:88.2%,88.2,off
"10/22/2025, 10:18:55 AM",dead crops:81.2%,81.2,off
"10/22/2025, 10:19:10 AM",stressed crops:69.0%,69,off
"10/22/2025, 10:19:12 AM",stressed crops:71.0%,71,off
"10/22/2025, 10:19:18 AM",stressed crops:57.4%,57.4,off
"10/22/2025, 10:19:22 AM",stressed crops:68.5%,68.5,off
"10/22/2025, 10:19:27 AM",healthy crops:50.0%,50,off
"10/22/2025, 10:19:35 AM",healthy crops:77.2%,77.2,off
"10/22/2025, 10:19:37 AM",healthy crops:80.1%,80.1,off
"10/22/2025, 10:19:40 AM",healthy crops:76.6%,76.6,off
"10/22/2025, 10:19:42 AM",healthy crops:80.0%,80,off
"10/22/2025, 10:19:45 AM",healthy crops:79.6%,79.6,off
"10/22/2025, 10:19:51 AM",healthy crops:83.0%,83,off
"10/22/2025, 10:19:53 AM",healthy crops:50.5%,50.5,off
"10/22/2025, 10:19:47 AM",healthy crops:65.5%,65.5,off
"10/22/2025, 10:19:55 AM",healthy crops:71.0%,71,off
"10/22/2025, 10:20:00 AM",healthy crops:78.8%,78.8,off
"10/22/2025, 10:20:03 AM",healthy crops:81.8%,81.8,off
"10/22/2025, 10:20:05 AM",healthy crops:73.6%,73.6,off
"10/22/2025, 10:20:07 AM",healthy crops:86.7%,86.7,off
"10/22/2025, 10:20:22 AM",dead crops:83.8%,83.8,off
"10/22/2025, 10:20:37 AM",dead crops:50.1%,50.1,off
"10/22/2025, 10:20:40 AM",healthy crops:64.3%,64.3,off
"10/22/2025, 10:20:45 AM",stressed crops:62.3%,62.3,off
"10/22/2025, 10:20:47 AM",dead crops:58.9%,58.9,off
